p 	 edge 	 77 	 254 
e 	 0  	 1 
e 	 0  	 2 
e 	 0  	 3 
e 	 0  	 4 
e 	 0  	 5 
e 	 0  	 6 
e 	 0  	 7 
e 	 0  	 8 
e 	 0  	 9 
e 	 0  	 11 
e 	 2  	 3 
e 	 2  	 11 
e 	 3  	 11 
e 	 10  	 11 
e 	 11  	 12 
e 	 11  	 13 
e 	 11  	 14 
e 	 11  	 15 
e 	 11  	 23 
e 	 11  	 24 
e 	 11  	 25 
e 	 11  	 26 
e 	 11  	 27 
e 	 11  	 28 
e 	 11  	 29 
e 	 11  	 31 
e 	 11  	 32 
e 	 11  	 33 
e 	 11  	 34 
e 	 11  	 35 
e 	 11  	 36 
e 	 11  	 37 
e 	 11  	 38 
e 	 11  	 43 
e 	 11  	 44 
e 	 11  	 48 
e 	 11  	 49 
e 	 11  	 51 
e 	 11  	 55 
e 	 11  	 58 
e 	 11  	 64 
e 	 11  	 68 
e 	 11  	 69 
e 	 11  	 70 
e 	 11  	 71 
e 	 11  	 72 
e 	 12  	 23 
e 	 16  	 17 
e 	 16  	 18 
e 	 16  	 19 
e 	 16  	 20 
e 	 16  	 21 
e 	 16  	 22 
e 	 16  	 23 
e 	 16  	 26 
e 	 16  	 55 
e 	 17  	 18 
e 	 17  	 19 
e 	 17  	 20 
e 	 17  	 21 
e 	 17  	 22 
e 	 17  	 23 
e 	 18  	 19 
e 	 18  	 20 
e 	 18  	 21 
e 	 18  	 22 
e 	 18  	 23 
e 	 19  	 20 
e 	 19  	 21 
e 	 19  	 22 
e 	 19  	 23 
e 	 20  	 21 
e 	 20  	 22 
e 	 20  	 23 
e 	 21  	 22 
e 	 21  	 23 
e 	 22  	 23 
e 	 23  	 24 
e 	 23  	 25 
e 	 23  	 27 
e 	 23  	 29 
e 	 23  	 30 
e 	 23  	 31 
e 	 24  	 25 
e 	 24  	 26 
e 	 24  	 27 
e 	 24  	 41 
e 	 24  	 42 
e 	 24  	 50 
e 	 24  	 68 
e 	 24  	 69 
e 	 24  	 70 
e 	 25  	 26 
e 	 25  	 27 
e 	 25  	 39 
e 	 25  	 40 
e 	 25  	 41 
e 	 25  	 42 
e 	 25  	 48 
e 	 25  	 55 
e 	 25  	 68 
e 	 25  	 69 
e 	 25  	 70 
e 	 25  	 71 
e 	 25  	 75 
e 	 26  	 27 
e 	 26  	 43 
e 	 26  	 49 
e 	 26  	 51 
e 	 26  	 54 
e 	 26  	 55 
e 	 26  	 72 
e 	 27  	 28 
e 	 27  	 29 
e 	 27  	 31 
e 	 27  	 33 
